,weight,word,color
3,80,TS-Flexibility,#67001f
2,39,Picture~Naming,#e8896c
4,30,TS-Inhibition,#f5ac8b
11,25,Semantics-Specificity,#acd2e5
5,18,Four~Mountains,#fcd3bc
7,11,RAPM,#fbe3d4
9,7,Semantics-Strength,#e7f0f4
6,6,Unusual~Uses,#f9ede5
0,0,Digit~Span,#f7f6f6
1,0,Category~Fluency,#f7f6f6
8,0,Paired~Associate,#f7f6f6
10,0,Semantics-Modality,#f7f6f6
12,0,Semantics-Feature,#f7f6f6
