,weight,word,color
0,40,Digit~Span,#e58368
1,50,Category~Fluency,#3f8ec0
2,59,Picture~Naming,#2b73b3
3,46,TS-Flexibility,#db6b55
4,0,TS-Inhibition,#f7f6f6
5,0,Four~Mountains,#f7f6f6
6,0,Unusual~Uses,#f7f6f6
7,4,RAPM,#ecf2f5
8,0,Paired~Associate,#f7f6f6
9,0,Semantics-Strength,#f7f6f6
10,0,Semantics-Modality,#f7f6f6
11,0,Semantics-Specificity,#f7f6f6
12,17,Semantics-Feature,#fcd7c2
