,weight,word,color
0,4.0,Deliberate,#84bcd9
1,10.0,Detailed,#053061
2,4.0,Emotion,#f5ac8b
3,2.0,Evolving,#fddcc9
4,7.0,Focus,#be3036
5,8.0,Future,#2a71b2
6,10.0,Habit,#0c3d73
7,3.0,Images,#b8d8e9
8,3.0,Other,#b3d6e8
9,8.0,Past,#2870b1
10,8.0,Self,#266caf
11,3.0,Vivid,#b6d7e8
12,1.0,Words,#fae9df
