,weight,word,color
0,2,motion~perception,#ddebf2
1,4,object~recognition,#f7b596
2,2,cued~attention,#fbe4d6
3,2,multisensory~processing,#fce0d0
4,5,facial~recognition,#f5aa89
5,1,inhibition~error,#ecf2f5
6,5,motion~and~visuospatial~memory,#f5a886
7,0,episodic~memory,#f7f5f4
8,0,eye~movement,#f3f5f6
9,5,social~cognition,#9bc9e0
10,6,reading,#7bb6d6
11,2,working~memory,#d8e9f1
12,5,face/affective~processing,#f5a886
13,3,feedback~based~learning,#fddcc9
14,4,reward~based~decision~making,#f8bfa4
15,5,auditory~processing,#96c7df
16,10,sentences~comprehension,#2267ac
17,2,emotion~regulation,#fbe5d8
18,0,visual~attention,#f7f5f4
19,2,numerical~cognition,#fcdfcf
20,7,verbal~semantics,#59a1ca
21,5,resolve~conflicts,#a0cce2
22,5,pain,#f4a683
23,1,sesnorimotor,#f9ebe3
