,MWQ_Deliberate_diff,MWQ_Detailed_diff,MWQ_Emotion_diff,MWQ_Evolving_diff,MWQ_Focus_diff,MWQ_Future_diff,MWQ_Habit_diff,MWQ_Images_diff,MWQ_Other_diff,MWQ_Past_diff,MWQ_Self_diff,MWQ_Vivid_diff,MWQ_Words_diff,MWQ_Deliberate,MWQ_Detailed,MWQ_Emotion,MWQ_Evolving,MWQ_Focus,MWQ_Future,MWQ_Habit,MWQ_Images,MWQ_Other,MWQ_Past,MWQ_Self,MWQ_Vivid,MWQ_Words,MWQ_Deliberate_0,MWQ_Deliberate_1,MWQ_Detailed_0,MWQ_Detailed_1,MWQ_Emotion_0,MWQ_Emotion_1,MWQ_Evolving_0,MWQ_Evolving_1,MWQ_Focus_0,MWQ_Focus_1,MWQ_Future_0,MWQ_Future_1,MWQ_Habit_0,MWQ_Habit_1,MWQ_Images_0,MWQ_Images_1,MWQ_Other_0,MWQ_Other_1,MWQ_Past_0,MWQ_Past_1,MWQ_Self_0,MWQ_Self_1,MWQ_Vivid_0,MWQ_Vivid_1,MWQ_Words_0,MWQ_Words_1,component_1,component_2
R2555,2.5058560211572534,1.5586718281661,-0.6663196613486664,1.1154346118497962,2.843306466240585,-0.7994803139246647,3.2195562949056225,-1.5273442580148269,-2.3643967394976695,-1.2868833014678496,0.10381435333071201,0.07096369906773808,2.121338703743297,-0.6316860449255973,0.22572024340798572,0.46589151127234435,-0.954249168885176,-0.4782723351450634,0.31722325535018486,-0.410011263869471,0.3511752840414343,0.9772011588824079,-0.1681566817835917,0.1862651888670763,-0.014953265567455621,-0.2913843478536612,-1.8268145947892294,0.6790414263680242,-0.5691460239890336,0.9895258041770665,0.774335698173362,0.10801603682469559,-1.4781901275394422,-0.36275551568964604,-1.8483570363844228,0.994949429856162,0.7044132275826255,-0.09506708634203924,-1.9969704286111847,1.2225858662944378,1.1032694682135449,-0.42407478980128205,2.1003502267874485,-0.264046512710221,0.4842888459005243,-0.8025944555673252,0.12694836465113235,0.23076271798184436,-0.05007261145876267,0.020891087608975418,-1.3324671286004621,0.7888715751428351,3.075456377044012,-0.8983858235524997
R2595,1.0189946882430938,-0.7858674383273265,0.2359934735912167,-0.3850565670574779,2.012469132990242,-0.8624169010136398,-0.03280851469554458,-0.7811627859343802,-0.6398311038362055,-0.904551129818143,-1.5814026579625509,-0.8006699323357346,1.6972580604532375,-0.009948628298321431,-2.1618913902249037,-0.9338061190918775,-1.7240503787516217,0.07170032745303273,-1.4751014988623194,-2.172226057471343,-0.9511439966350932,-0.7752346679587813,-0.7608931058819537,-0.783540385467781,-0.9409094332934929,-0.21891915428343187,-0.5185356699759318,0.5004590182671621,-1.6202118757807837,-2.4060793141081103,-1.0022642426386892,-0.7662707690474725,-1.4704980710963431,-1.855554638153821,-0.9422651495515029,1.0702039834387396,-0.9855341607461223,-1.847951061759762,-2.034927587651849,-2.0677361023473937,-0.52920421022763,-1.3103669961620101,-0.4084740366095145,-1.04830514044572,-0.26787584801757597,-1.172426977835719,0.038330257185470645,-1.5430724007770802,-0.5177645266914287,-1.3184344590271633,-1.05283265288473,0.6444254075685074,-0.40083347431118654,-1.269528716024209
R3111,0.29995679903923134,0.3540302313777177,-0.05608071251888269,0.40452438406655644,0.11139919475431626,0.20628175228590903,-0.13561228554280969,0.34893520524713173,-0.00018919365283032175,0.22484000464991905,-0.39538232333618994,-0.207420264525488,0.3456175127818266,1.9434925474275462,1.3733829298330342,-0.783853857901107,1.1029220098186345,1.8419144992541077,0.3063816599813551,1.49418636277305,0.7887277611566605,-0.7989527063750602,1.2512046585995114,-0.7573063494009848,-0.686878092578898,-0.2713040343347391,1.6156840026208734,1.9156408016601048,1.1018741975608883,1.455904428938606,-0.7142298877455577,-0.7703106002644404,0.8616210865705531,1.2661454706371096,1.5876150256204051,1.6990142203747214,0.19111952108175825,0.3974012733676673,1.4788342711645068,1.3432219856216971,0.5882564876492786,0.9371916928964104,-0.7505798210009597,-0.75076901465379,1.0717894428459527,1.2966294474958717,-0.5294894665983423,-0.9248717899345322,-0.5665163594044301,-0.7739366239299181,-0.42587599865326464,-0.08025848587143802,0.5774952459721684,-0.9661507648244695
R3262,0.45571456451680203,0.6321450042519223,-0.2199183118736977,0.4599028690768417,1.2341214190281315,-0.0519194461293106,0.40610402038952365,-0.06311845760600954,-0.44015903331037814,0.39873369245674195,-0.6011314943248315,-0.11433040405357824,0.15379411096879936,0.5578225759964509,-0.37345230509450356,-0.9103867251431856,0.11400638810013633,-0.366926567994198,0.36129767467094936,0.404716099153367,0.05483094839447827,0.7050807158412375,-0.8972686711470278,0.2786378709617765,-0.031817444931440036,-0.4194734213620814,0.2789243623667659,0.7346389268835679,-0.6638299640975542,-0.03168495984563188,-0.7521313597880848,-0.9720496716617825,-0.11998038592937338,0.3399224831474683,-0.9444243276382265,0.28969709138990507,0.37296351327686444,0.32104406714755385,0.17913980613201452,0.5852438265215382,0.08458244833777256,0.02146399073176303,0.8825543435906418,0.44239531028026363,-1.0485916536372522,-0.6498579611805102,0.5681193761859609,-0.03301211813887063,0.0261190895934346,-0.08821131446014363,-0.46817388336776167,-0.3143797723989623,1.1845560259649917,1.2139225028415659
R3316,0.3480334179881527,-0.06091457007960133,-0.3550422497662439,-0.044013255546606234,0.7936706811175543,-0.33310480406456106,-0.16330973723881825,0.3178736780639997,-0.3212289924694842,0.14182491521378413,-0.06138483527066363,-0.0174838099152399,0.2200266113130276,-0.4600332005909721,1.0355029562744031,0.06631754411928563,0.40652479991530205,-0.570882326588057,-0.16495426362775437,-0.060093372980764864,1.6215211005890677,-0.04547031730110513,0.009264613394239209,1.4137848545119007,1.4355418282702055,-2.781840960421197,-0.5919567351058135,-0.24392331711766077,0.9947139652789035,0.9337993951993022,0.24032050918039843,-0.11472174058584544,0.4141421850633222,0.37012892951671594,-0.9061636919414987,-0.11249301082394433,0.008124162097922247,-0.3249806419666388,0.02490596385192814,-0.1384037733868901,1.4091241158547725,1.7269977939187722,0.11789181228101944,-0.2033371801884648,-0.0621439139382696,0.07968100127551453,1.3882367714503057,1.326851936179642,1.4094826966615046,1.3919988867462647,-2.704861635105411,-2.4848350237923835,3.749684887860541,-1.2737000854963718
R3338,0.6220755400719054,0.13205105280627372,-0.32060549407993666,-0.23891469693864287,0.23892025255616245,-0.08344530801323491,-0.005524457800966331,-0.07001208873841236,0.30119629530630654,0.7748075014039197,-0.22925003191853915,0.032996405967485654,1.260967575605683,0.9861467840079164,1.25628193735292,-0.2783593490465176,0.6789767637698471,1.50171798800476,-1.7211165534134918,2.1114351151152166,1.516151242099105,-1.2556169137924933,-2.0325168816977586,-0.4435043818011,1.5309737599314996,-2.5690104380373233,0.5848762903597164,1.2069518304316218,1.1038197579740776,1.2358708107803513,-0.10328957932949384,-0.4238950734094305,0.7744012330818596,0.5354865361432167,1.2203388330688627,1.4592590856250252,-1.6113020104210896,-1.6947473184343245,1.9966864226504815,1.9911619648495151,1.5011710937015998,1.4311590049631875,-1.3303419400634513,-1.0291456447571448,-2.3110903931972957,-1.536282891793376,-0.31123671787161583,-0.540486749790155,1.4773610175089076,1.5103574234763932,-3.026807854606648,-1.7658402790009649,0.6914218812045474,0.3350088897302655
R3380,0.3938368196602788,0.40301666320979207,0.04843589302843965,-0.14559449531576762,0.5331874367353191,0.12759302831861652,-0.530676785666794,-0.06640761613734433,-0.24507127052621477,0.14870655278300382,0.01396321714354365,0.323121947788106,0.1413140175266619,0.4953871671195051,0.21661266480140073,-0.8878338932096734,-1.0303598060150716,-0.04721638716902201,-0.6361515766533643,-2.3475829647488986,-0.28059952461540477,-0.31015975369397614,-0.06711652840165247,0.49028362059286557,0.9563327037215813,0.5554841168373654,0.25314068437300224,0.646977504033281,0.00020061359274008644,0.40321727680253217,-0.8649520628369519,-0.8165161698085123,-0.9210922194180148,-1.0666867147337824,-0.30871911534530905,0.22446832139001,-0.6747802644677904,-0.5471872361491739,-1.9515909538175187,-2.4822677394843127,-0.23814459334859142,-0.30455220948593575,-0.16888210533643225,-0.413953375862647,-0.13787607924717726,0.010830473535826553,0.46379848132641405,0.4777616984699577,0.771587891686158,1.094709839474264,0.44748800855375964,0.5888020260804215,3.3247063614219208,0.6560070778837332
R3385,-0.778879896184772,0.1973634878025563,0.10466197826157064,0.7614337078117781,-0.1417598558391987,0.9936916863134911,0.1537162446568039,0.6335480264401807,0.9921156390531898,-0.9498382971555778,0.9952238333130669,0.29358490527978337,1.027240642644096,-1.4060987822608295,-1.082635599712053,0.4684885040404463,0.9681990175707461,1.1884750324689408,-1.209511019915691,-1.1520952165348404,1.472566466057413,0.7285438843530498,-0.044062441759445736,-0.17670938722020277,-0.5019297340916076,-0.4637753218166034,-0.8880003779946017,-1.6668802741793738,-1.1068281745430248,-0.9094646867404685,0.39130410011758715,0.4959660783791578,0.5532120512970786,1.3146457591088567,1.1312105788345066,0.9894507229953079,-1.658505432016334,-0.6648137457028428,-1.1648340252142968,-1.011117780557493,1.1072432123722151,1.7407912388123958,0.18846236781936798,1.1805780068725578,0.43321601124513653,-0.5166222859104412,-0.6672917870564119,0.32793204625665495,-0.636554185294096,-0.34296928001431265,-0.9462211192027534,0.08101952344134258,1.3560137824541023,3.61842636438454
R3517,0.23367903023338266,-0.13128672550109255,-0.13034066551412127,0.16130271170378158,0.3699391788585008,-0.06443336391432433,-0.3151571640742691,-0.04649336871360488,-0.12122947139068085,0.02902924036643595,-0.35307944065835056,-0.031003765866852717,0.1600653405996353,-1.6371963877920044,-2.0629185002694115,-0.67745189285781,-0.36228335410788265,1.2387475610832672,-0.15418010043468036,-0.13352728025236654,-2.3805451702310423,-1.1008939843294985,-0.6276703939365516,-0.10915317123898455,-2.2486775021710823,1.3680793568078777,-1.604231947195123,-1.3705529169617403,-1.8553390280969122,-1.9866257535980048,-0.5763425930830719,-0.7066832585971932,-0.4301114256670424,-0.26880871396326084,0.9202130790143986,1.2901522578728994,-0.11586364896348139,-0.18029701287780572,0.03148269932927148,-0.2836744647449976,-2.2788139742602884,-2.3253073429738933,-0.9737555645515107,-1.0949850359421915,-0.6085766737770638,-0.5795474334106279,0.07172867298800041,-0.28135076767035017,-2.1786621899262903,-2.209665955793143,1.196085729016924,1.3561510696165593,0.09287616042009478,2.5164603338347695
R3557,0.2947245463919599,-0.10959990327630159,0.7082329102247104,-0.08822097319430355,0.6953201192673321,0.09351976741462575,-0.44948228853079786,-0.2036001496153883,-0.8756900988053615,0.30150281325292716,-1.3973547924724206,-0.42171120925459626,1.0751035743258248,0.6236507526428255,-0.4861881267631783,-0.8831900095898666,-2.5065634500703307,0.20644867170983128,-1.1625233943756341,-1.8920957485575247,-1.1473482865610205,-0.8069761799421671,-1.220862380531747,-0.24193716646528424,-1.5868572756856731,-1.2164234004110812,0.41922425036212285,0.7139487967540827,-0.3979367076284203,-0.5075366109047219,-1.1904530468291177,-0.4822201366044073,-2.373731316857172,-2.4619522900514754,-0.1634712054514691,0.531848913815863,-1.1632908008412355,-1.0697710334266097,-1.562050911494503,-2.011533200025301,-1.0077211328774798,-1.211321282492868,-0.32036800782209784,-1.1960581066274594,-1.3062432379131164,-1.0047404246601892,0.46636451407117036,-0.9309902784012501,-1.3375323788447089,-1.7592435880993051,-1.6722083952751636,-0.5971048209493388,0.9585516200224042,1.487607914698883
