weight,word,color
8,Deliberate,#246aae
15,Detailed,#053061
5,Emotion,#e58368
0,Evolving,#f8f2ef
8,Task,#9f1228
7,Future,#3681ba
7,Habit,#2a71b2
1,Images,#fbe4d6
4,People,#93c6de
12,Past,#053061
10,Self,#09386d
4,Vivid,#87beda
2,Words,#c7e0ed
