weight,word,color
3,Deliberate,#aed3e6
5,Detailed,#5fa5cd
6,Emotion,#da6853
3,Evolving,#f8bda1
6,Task,#d35a4a
7,Future,#3a87bd
10,Habit,#073467
2,Images,#d5e7f1
0,People,#f6f7f7
5,Past,#59a1ca
5,Self,#71b0d3
1,Vivid,#deebf2
2,Words,#fcd3bc
