,weight,word,color
0,2.0,Deliberate,#c5dfec
1,10.0,Detailed,#073467
2,1.0,Emotion,#f9efe9
3,1.0,Evolving,#fbe5d8
4,6.0,Focus,#dc6e57
5,8.0,Future,#1e61a5
6,7.0,Habit,#2e77b5
7,5.0,Images,#78b4d5
8,4.0,Other,#81bad8
9,6.0,Past,#4f9bc7
10,8.0,Self,#2369ad
11,5.0,Vivid,#71b0d3
12,0.0,Words,#f8f4f2
