,weight,word,color
0,5,Deliberate,#84bcd9
1,11,Detailed,#053061
2,3,Emotion,#f5ac8b
3,0,Evolving,#fddcc9
4,6,Task,#be3036
5,6,Future,#2a71b2
6,7,Habit,#0c3d73
7,1,Images,#b8d8e9
8,3,Other,#b3d6e8
9,7,Past,#2870b1
10,6,Self,#266caf
11,3,Vivid,#b6d7e8
12,1,Words,#fae9df
